DIN;Megnevezés;Anyag;d1;L;Egység csomag;Rendelheto/Keszleten
;;;;;;
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M3;6;500 db;rendelheto
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M3;8;500 db;keszleten
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M3;10;200 db;rendelheto
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M3;12;200 db;rendelheto
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M3;14;200 db;keszleten
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M3;16;100 db;keszleten
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M4;10;200 db;rendelheto
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M4;12;200 db;rendelheto
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M4;14;100 db;rendelheto
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M4;16;200 db;rendelheto
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M6;30;50 db;keszleten
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M6;35;25 db;keszleten
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M6;40;25 db;keszleten
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M6;50;25 db;rendelheto
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M6;60;25 db;keszleten
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M8;30;25 db;rendelheto
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M5;25;100 db;rendelheto
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M5;30;100 db;rendelheto
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M5;35;50 db;rendelheto
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M5;40;50 db;keszleten
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M5;50;50 db;keszleten
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M6;10;100 db;keszleten
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M6;12;100 db;keszleten
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M6;16;100 db;keszleten
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M6;20;50 db;rendelheto
DIN964A;Lencsefejű egyeneshornyú csavar;Sav és rozsdamentes;M6;25;50 db;keszleten
