Sorszam;Pilóta neve;Szerzett pont;Aktív évek
;Juan Manuel Fangio;270,0;1950-1958
;Jack Brabham;260,0;1955-1970
;Graham Hill;289,0;1958-1975
;Jim Clark;274,0;1960-1968
;Jackie Stewart;360,0;1965-1973
;Denny Hulme;248,0;1965-1974
;Emerson Fittipaldi;281,0;1970-1980
;Niki Lauda;420,5;1971-1985
;Jody Scheckter;255,0;1972-1980
;Carlos Reutemann;310,0;1972-1982
;Riccardo Patrese;281,0;1977-1993
;Nelson Piquet;485,5;1978-1991
;Alain Prost;798,5;1980-1993
;Nigel Mansell;482,0;1980-1995
;Ayrton Senna;614,0;1984-1994
;Gerhard Berger;385,0;1984-1997
;Jean Alesi;241,0;1989-2001
;Mika Hakkinen;420,0;1991-2001
;Michael Schumacher;1556,0;1991-2012
;Damon Hill;360,0;1992-1999
;Rubens Barrichello;652,0;1993-2011
;David Coulthard;535,0;1994-2008
;Jacques Villeneuve;232,0;1996-2006
;Giancarlo Fisichella;275,0;1996-2009
;Ralf Schumacher;329,0;1997-2007
;Jarno Trulli;246,5;1997-2011
;Nick Heidfeld;258,0;2000-2011
;Jenson Button;1235,0;2000-2017
;Juan Pablo Montoya;303,0;2001-2006
;Kimi Raikkönen;1875,0;2001-2021
;Fernando Alonso;2261,0;2001-2023
;Mark Webber;1048,5;2002-2013
;Felipe Massa;1162,0;2002-2017
;Nico Rosberg;1593,5;2006-2016
;Robert Kubica;274,0;2006-2021
;Sebastian Vettel;3098,0;2007-2022
;Lewis Hamilton;4607,5;2007-2023
;Romain Grosjean;397,0;2009-2020
;Nico Hülkenberg;533,0;2010-2023
;Sergio Perez;1434,0;2011-2023
;Daniel Ricciardo;1319,0;2011-2023
;Valtteri Bottas;1799,0;2013-2023
;Max Verstappen;2469,5;2015-2023
;Carlos Sainz Jr;938,5;2015-2023
;Esteban Ocon;415,0;2016-2023
;Pierre Gasly;388,0;2017-2023
;Lance Stroll;236,0;2017-2023
;Charles Leclerc;1010,0;2018-2023
;Lando Norris;570,0;2019-2023
;George Russell;426,0;2019-2023
