Intézmények, karok, hallgatók (egyetemi, főiskolai, alap0, mester0 és osztatlan képzésben) és oktatók, tanárok száma  1);;;;;;;;
Időszak;Intézmények;Karok;Nappali;Esti;Levelező;Távoktatás;Összes;Oktatók és tanárok száma
1937/38 ősz;16;37;11747;0;0;0;11747;1724
1946/47 ősz;18;38;24036;1216;0;0;25252;0
1950/51 ősz;19;43;26509;5992;0;0;32501;0
1960/61 ősz;43;60;29344;1314;13900;0;44558;5635
1970/71 ősz;74;102;53821;8177;18538;0;80536;9791
1980/81 ősz;57;95;64057;8035;29074;0;101166;13890
1985/86 ősz;58;100;64190;6203;28951;0;99344;14850
1990/91 ősz;77;117;76601;4737;21049;0;102387;17302
1991/92 ősz;77;118;83191;4372;19516;0;107079;17477
1992/93 ősz;91;132;92328;4298;20834;0;117460;17743
1993/94 ősz;91;137;103713;4640;25603;0;133956;18687
1994/95 ősz;91;137;116370;5453;32837;0;154660;19103
1995/96 ősz;90;138;129541;5764;44260;0;179565;18098
1996/97 ősz;89;139;142113;5750;51169;0;199032;19329
1997/98 ősz;90;140;152889;6538;74230;0;233657;19716
1998/99 ősz;89;141;163100;6866;88349;0;258315;21323
1999/00 ősz;89;143;171612;7861;99524;0;278997;21249
2000/01 ősz;62;155;176046;8625;110369;0;295040;22873
2001/02 ősz;65;156;184071;9665;119502;0;313238;22863
2002/03 ősz;66;157;193155;9902;138130;0;341187;23151
2003/04 ősz;68;169;204910;10194;151843;0;366947;23288
2004/05 ősz;69;170;212292;9356;156818;0;378466;23787
2005/06 ősz;71;172;217245;8939;154448;0;380632;23188
2006/07 ősz;71;172;224616;7663;143540;0;375819;22076
2007/08 ősz;71;173;227118;6218;126055;0;359391;22376
2008/09 ősz;70;172;224894;4753;111204;0;340851;22475
2009/10 ősz;69;171;222564;3730;101781;0;328075;21934
2010/11 ősz;69;184;218057;3100;96862;0;318019;21495
2011/12 ősz;68;183;218304;2756;95325;0;316385;21357
2012/13 ősz;66;181;214320;2329;82987;0;299636;20555
2013/14 ősz;66;185;209208;1907;62850;8331;282296;21137
2014/15 ősz;67;184;203576;1725;59136;7043;271480;21080
2015/16 ősz;66;185;195419;1716;56629;5765;259529;21668
2016/17 ősz;65;186;190098;1688;55196;3725;250707;22436
2017/18 ősz;64;187;187084;1819;54658;3447;247008;23110
2018/19 ősz;64;190;185278;1813;55737;2936;245764;22519
2019/20 ősz;64;191;186797;1932;57410;2565;248704;23383
2020/21 ősz;62;189;182189;1896;57452;2039;243576;23511
