1;Lewis Hamilton;4607;2007-2023;*
2;Sebastian Vettel;3098;2007-2022;*
3;Max Verstappen;2469;2015-2023;*
4;Fernando Alonso;2261;2001-2023;*
5;Kimi Raikkönen;1875;2001-2021;*
6;Valtteri Bottas;1799;2013-2023;*
7;Nico Rosberg;1593;2006-2016;*
8;Michael Schumacher;1556;1991-2012
9;Sergio Perez;1434;2011-2023;*
10;Daniel Ricciardo;1319;2011-2023;*
11;Jenson Button;1235;2000-2017
12;Felipe Massa;1162;2002-2017;*
13;Mark Webber;1048;2002-2013;*
14;Charles Leclerc;1010;2018-2023;*
15;Carlos Sainz Jr;938;2015-2023;*
16;Alain Prost;798;1980-1993
17;Rubens Barrichello;652;1993-2011
18;Ayrton Senna;614;1984-1994
19;Lando Norris;570;2019-2023;*
20;David Coulthard;535;1994-2008
21;Nico Hülkenberg;533;2010-2023;*
22;Nelson Piquet;485;1978-1991
23;Nigel Mansell;482;1980-1995
24;George Russell;426;2019-2023;*
25;Niki Lauda;420;1971-1985
26;Mika Hakkinen;420;1991-2001
27;Esteban Ocon;415;2016-2023;*
28;Romain Grosjean;397;2009-2020;*
29;Pierre Gasly;388;2017-2023;*
30;Gerhard Berger;385;1984-1997
31;Jackie Stewart;360;1965-1973
32;Damon Hill;360;1992-1999
33;Ralf Schumacher;329;1997-2007
34;Carlos Reutemann;310;1972-1982
35;Juan Pablo Montoya;303;2001-2006;*
36;Graham Hill;289;1958-1975
37;Riccardo Patrese;281;1977-1993
38;Emerson Fittipaldi;281;1970-1980
39;Giancarlo Fisichella;275;1996-2009
40;Robert Kubica;274;2006-2021;*
41;Jim Clark;274;1960-1968
42;Juan Manuel Fangio;270;1950-1958
43;Jack Brabham;260;1955-1970
44;Nick Heidfeld;258;2000-2011
45;Jody Scheckter;255;1972-1980
46;Denny Hulme;248;1965-1974
47;Jarno Trulli;246;1997-2011
48;Jean Alesi;241;1989-2001
49;Lance Stroll;236;2017-2023;*
50;Jacques Villeneuve;232;1996-2006
